Bugs,Fix ,Symptom,Root Cause,Component,Explanation - Symptom,Explanation - Root Cause,What factors are contained in the bug-triggered test program?,Has Test Program?,Bug ID,Trigger Bug,Impact,Bug ID text
https://github.com/ethereum/solidity/issues/14375,https://github.com/ethereum/solidity/pull/14377,Incorrect Output,Formal Verification Error,Formal Verification,SMT-LIB Script,Incorrect Model Checker Implementation,"1. CL
2. play with numerical value",1,14375,,,14375
https://github.com/ethereum/solidity/issues/14259,https://github.com/ethereum/solidity/pull/14262,Incorrect Output,Syntactic Analysis Error,CLI,Helper Message,,1. CL,1,14259,,"Low Impact
Low Effort",14259
https://github.com/ethereum/solidity/issues/14241,https://github.com/ethereum/solidity/pull/14243,Performance Issue,Optimization Error,CodeGen,,Redundant Yul Opt,NO TEST PROGRAM,0,14241,,"Medium Impact
Low Effect",14241
https://github.com/ethereum/solidity/issues/14211,https://github.com/ethereum/solidity/pull/14216,Incorrect Output,Formal Verification Error,Formal Verification,Warning Message,Incorrect Model Checker Implementation,"1. CL
2. play with numerical value",1,14211,,,14211
https://github.com/ethereum/solidity/issues/14182,https://github.com/ethereum/solidity/pull/14276,Crash,Semantic Analysis Error,Formal Verification,Reject Valid Program,Scope,"1. language feature (memory, array, struct, public, pure, external)
",1,14182,,,14182
https://github.com/ethereum/solidity/issues/14181,https://github.com/ethereum/solidity/pull/14344,Crash,Formal Verification Error,Formal Verification,Reject Valid Program,Incorrect SMT Encoding,bug,1,14181,,,14181
https://github.com/ethereum/solidity/issues/14111,https://github.com/ethereum/solidity/pull/14269,Error Omission,Formal Verification Error,Formal Verification,,Incorrect Model Checker Implementation,"1. SMT enabler
2. play with numerical value
3. language feature (public)",1,14111,,,14111
https://github.com/ethereum/solidity/issues/14037,https://github.com/ethereum/solidity/pull/14322,Crash,Memory-Related Error,Yul,Reject Valid Program,Allocation Problem,yul,1,14037,yul,,14037
https://github.com/ethereum/solidity/issues/14016,https://github.com/ethereum/solidity/pull/14135,Crash,Syntactic Analysis Error,Parser,Poor Error Message,,1. invalid code,1,14016,,"Low Impact
Low Effort",14016
https://github.com/ethereum/solidity/issues/14001,https://github.com/ethereum/solidity/pull/14032,Crash,Memory-Related Error,Code Analyzer,Poor Error Message,Null Pointer Dereference,int8,1,14001,,"Low Impact
Low Effort",14001
https://github.com/ethereum/solidity/issues/13945,https://github.com/ethereum/solidity/pull/13952,Crash,Formal Verification Error,Formal Verification,Reject Valid Program,Incorrect SMT Encoding,1.annotation (@custom:smtchecker abstract-function-nondet),1,13945,,Low Effort,13945
https://github.com/ethereum/solidity/issues/13824,https://github.com/ethereum/solidity/pull/13971,Incorrect Output,Exception Handling Error,Code Analyzer,Error message,Misleading Error Message,"1. metamorphic relation
2. abstract contract",1,13824,,"Low Impact
Low Effort",13824
https://github.com/ethereum/solidity/issues/13769,https://github.com/ethereum/solidity/pull/14304,Error Omission,Exception Handling Error,"Code Analyzer
CodeGen",,"The original specification about the initialization of immutable variables
is not well-designed and is modified in the patch.",1. `immutable` keyword,1,13769,,"Medium Impact
Low Effect",13769
https://github.com/ethereum/solidity/issues/13765,https://github.com/ethereum/solidity/pull/13855,Crash,Semantic Analysis Error,Code Analyzer,Poor Error Message,Scope,"1. language feature (library, external)
3. metamorphic relation",1,13765,,"Low Impact
Low Effort",13765
https://github.com/ethereum/solidity/issues/13764,https://github.com/ethereum/solidity/pull/13860,Error Omission,Semantic Analysis Error,Code Analyzer,,Scope,"1. language feature (library)
2. metamorphic relation",1,13764,,"Medium Impact
Low Effect",13764
https://github.com/ethereum/solidity/issues/13735,https://github.com/ethereum/solidity/pull/13761,Crash,Formal Verification Error,Formal Verification,Reject Valid Program,Incorrect SMT Encoding,"1. SMT enabler
2. language feature (mapping)",1,13735,array,,13735
https://github.com/ethereum/solidity/issues/13732,https://github.com/ethereum/solidity/pull/13751,Crash,Exception Handling Error,Formal Verification,Reject Valid Program,,"1. annotation (@custom:smtchecker b; @custom:smtchecker)
2. SMT enabler
3. language feature (internal)",1,13732,,,13732
https://github.com/ethereum/solidity/issues/13681,https://github.com/ethereum/solidity/pull/13816,Error Omission,Syntactic Analysis Error,Parser,,,"1. invalid code
2. language feature (event)",1,13681,,"Low Impact
Low Effort",13681
